Temple,Latitude,Longitude,Address,City,State,Postal Code,Country,Phone
Palmyra New York Temple,43.039148,-77.237063,2720 Temple Road,Palmyra,New York,14522,United States,(+1) 315-597-6001
Panama City Panama Temple,8.99146,-79.57048,Calle Rufina 3172,Ancón,Cárdenas,,Panama,(+507) 201-6233
Papeete Tahiti Temple,-17.536618,-149.556019,Route de Fautaua?Titioro,Papeete,Tahiti,98716,French Polynesia,(+689) 40-50-3939
Paris France Temple,48.817892,2.123171,46 Boulevard Saint-Antoine 15-21 rue du General Welvert,Le Chesnay,,78150,France,(+33) 970-73-70-00
Payson Utah Temple,40.019258,-111.749175,1494 South 930 West,Payson,Utah,,United States,(+1) 801-754-4949
Perth Australia Temple,-31.906905,115.869834,163-173 Wordsworth Avenue,Yokine,Western Australia,6060,Australia,(+61) 8-9276-0000
Philadelphia Pennsylvania Temple,39.959174,-75.168072,1739 Vine Street,Philadelphia,Pennsylvania,19103,United States,(+1) 215-398-3040
Phnom Penh Cambodia Temple,11.569891,104.895707,Russian Confederation Street,Phnom Penh,,,Cambodia,
Phoenix Arizona Temple,33.698555,-112.172329,5220 West Pinnacle Peak Road,Phoenix,Arizona,85310,United States,(+1) 623-474-9500
Pittsburgh Pennsylvania Temple,40.69404827,-80.140918,2093 Powell Road,Cranberry Township,Pennsylvania,16066,United States,
Pocatello Idaho Temple,42.915259,-112.406374,3100 Butte Street,Pocatello,Idaho,83201-1828,United States,(+1) 208-646-7730
Port Moresby Papua New Guinea Temple,-9.477474,147.176546,Muniogo Crescent Badili,Port Moresby,,,Papua New Guinea,
Port Vila Vanuatu Temple,-17.70379129,168.30421,Blacksands,Port Vila,,,Vanuatu,
Port-au-Prince Haiti Temple,18.529017,-72.268143,Route de Frères Delmas 105,Pétion-Ville,Port-au-Prince,,Haiti,(+509) 2262-5810
Portland Oregon Temple,45.425345,-122.742224,13600 SW Kruse Oaks Boulevard,Lake Oswego,Oregon,97035-8602,United States,(+1) 503-639-7066
Porto Alegre Brazil Temple,-30.034047,-51.157868,Rua General Salvador Pinheiro 50 Vila Jardim,Porto Alegre,Rio Grande do Sul,91320-240,Brazil,(+55) 51-2104-2700
Praia Cape Verde Temple,14.918789,-23.511157,Avenida Cidade de Lisboa Bairro Taiti,Praia,São Tiago,7600,Cape Verde,
Preston England Temple,53.672476,-2.631275,Temple Way Hartwood Green Chorley,Lancashire,, PR6 7EQ,United Kingdom,(+44) 1257-226-100
Provo City Center Temple,40.232667,-111.659299,50 South University Avenue,Provo,Utah,84601,United States,(+1) 801-343-2700
Provo Utah Temple,40.263666,-111.639779,2200 Temple Hill Drive,Provo,Utah,84604-1766,United States,(+1) 801-375-5775
Puebla Mexico Temple,19.085418,-98.235514,15 de Mayo Los Cipreses,Puebla,,,Mexico,
Querétaro Mexico Temple,20.61479391,-100.41048,Prolongación Tecnológico Norte 150 Colonia San Pablo,Querétaro,Querétaro,76130,Mexico,
Quetzaltenango Guatemala Temple,14.846493,-91.542517,9a Calle 4-03 Zona 9 Frente a Residenciales Los Cerezos 1,Quetzaltenango,,9000,Guatemala,(+502) 7728-1603
Quito Ecuador Temple,-0.213711,-78.441018,Cumbayá,Quito,,,Ecuador,
Raleigh North Carolina Temple,35.732111,-78.861542,574 Bryan Drive,Apex,North Carolina,27502,United States,(+1) 919-362-4135
Recife Brazil Temple,-8.03639,-34.911123,Rua Dr. José de Góes 284 Parnamirim,Recife,Pernambuco,52060-380,Brazil,(+55) 81-2129-4300
Red Cliffs Utah Temple,37.082184,-113.519741,1555 South Red Cliffs Temple Street,St. George,Utah,,United States,
Redlands California Temple,34.049037,-117.140579,1761 5th Avenue,Redlands,California,92374,United States,(+1) 909-389-7369
Regina Saskatchewan Temple,50.420981,-104.54168,111 Wascana Gate North,Regina,Saskatchewan,S4V 2J6,Canada,(+1) 306-545-8194
Reno Nevada Temple,39.534611,-119.898913,2000 Beaumont Parkway,Reno,Nevada,89523,United States,(+1) 775-747-6688
Rexburg Idaho Temple,43.810922,-111.778979,750 South 2nd East,Rexburg,Idaho,83440-5404,United States,(+1) 208-656-0880
Richmond Virginia Temple,37.672884,-77.535372,10915 Staples Mill Rd,Glen Allen,Virginia,,United States,
Rio de Janeiro Brazil Temple,-23.000894,-43.399918,Avenida das Américas 8547 Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22621-120,Brazil,(+55) 21-3906-46
Rome Italy Temple,41.970437,12.544764,Via di Settebagni 376,Rome,,,Italy,(+39) 06-9480-5050
Sacramento California Temple,38.635116,-121.193925,2110 California Circle,Rancho Cordova,California,95742,United States,(+1) 916-357-5870
Salt Lake Temple,40.770468,-111.891958,50 West North Temple Street,Salt Lake City,Utah,84150-0701,United States,(+1) 801-240-2640
Salta Argentina Temple,-24.837197,-65.470001,Ruta 51,Salta,,,Argentina,
Salvador Brazil Temple,-12.929251,-38.386386,Av. Luís Viana,Salvador,Bahia,,Brazil,
San Antonio Texas Temple,29.641481,-98.488789,20080 Stone Oak Parkway,San Antonio,Texas,78258-6920,United States,(+1) 210-538-0034
San Diego California Temple,32.866389,-117.228769,7474 Charmant Drive,San Diego,California,92122-5000,United States,(+1) 858-622-0991
San José Costa Rica Temple,9.986418,-84.184831,Del Hotel Marriott 600 Metros Oeste La Ribera de Belén,Heredia,,40702,Costa Rica,(+506) 2293-6681
San Juan Puerto Rico Temple,18.385623,-66.029896,123 Calle Ronda Urbanización Villa Andalucía,San Juan,,926,Puerto Rico,
San Pedro Sula Honduras Temple,15.522544,-88.036856,Bulevar Mario Catarino Rivas,San Pedro Sula,Cortés,,Honduras,
San Salvador El Salvador Temple,13.683347,-89.246822,Avenida El Espino y Calle El Pedregal Colonia San Benito,Antiguo Cuscatlán,La Libertad,,El Salvador,(+503) 2520-2631
Santiago Chile Temple,-33.436174,-70.609521,Pocuro 1940 Providencia,Santiago,Región Metropolitana,664-1404,Chile,(+56) 22-340-5070
Santo Domingo Dominican Republic Temple,18.466567,-69.917144,Avenida Bolivar no. 825 Los Robles,Santo Domingo,Distrito Nacional,10106,Dominican Republic,(+1) 809-731-2000
São Paulo Brazil Temple,-23.585174,-46.722764,Avenida Professor Francisco Morato 2390 Caxingui,São Paulo,São Paulo,05512-900,Brazil,(+55) 11-3723-7600
Sapporo Japan Temple,43.0249,141.4457,1-6-1 Oyachi-Nishi Atsubetsu-ku,Sapporo,Hokkaid?,004-0042,Japan,(+81) 11-890-8120
Saratoga Springs Utah Temple,40.34422619,-111.932607, 987 South Ensign Drive,Saratoga Springs,Utah,,United States,
Seattle Washington Temple,47.58407,-122.140876,2808 148th Avenue SE,Bellevue,Washington,98007-6453,United States,(+1) 425-643-5144
Seoul Korea Temple,37.558913,126.931286,500-23 Changcheon-dong Seodaemun-gu,Seoul-si,Seoul-teukbyeolsi,120-836,South Korea,(+82) 2-334-9100
Smithfield Utah Temple,41.84012916,-111.852673,N 800 West and W 100 North,Smithfield,Utah,,United States,
Snowflake Arizona Temple,34.502494,-110.111607,1875 West Canyon Drive,Snowflake,Arizona,85937,United States,(+1) 928-536-6626
Spokane Washington Temple,47.620163,-117.22069,13710 East 40th Avenue,Spokane,Washington,99206,United States,(+1) 509-926-2824
St. George Utah Temple,37.100535,-113.578041,250 East 400 South,St. George,Utah,84770-3699,United States,(+1) 435-673-3533
St. Louis Missouri Temple,38.639651,-90.464685,12555 North Outer Forty Drive,St. Louis,Missouri,63141-8620,United States,(+1) 314-514-1122
St. Paul Minnesota Temple,44.980261,-92.965199,2150 Hadley Avenue North,Oakdale,Minnesota,55128-4505,United States,(+1) 651-748-5910
Star Valley Wyoming Temple,42.712073,-110.932532,885 South Washington Street,Afton,Wyoming,,United States,(+1) 307-886-6820
Stockholm Sweden Temple,59.124676,18.109177,Tempelvägen 5,Västerhaninge,,SE-13742,Sweden,(+46) 8-5006-5500
Suva Fiji Temple,-18.119705,178.438559,2-20 Lakeba Street,Samabula,Suva,,Fiji,(+679) 338-8952
