Temple,Address,City,State,Postal Code,Country,Phone
Paris France Temple,46 Boulevard Saint-Antoine 15-21 rue du General Welvert,Le Chesnay,,78150,France,(+33) 970-73-70-00
Papeete Tahiti Temple,Route de Fautaua?Titioro,Papeete,Tahiti,98716,French Polynesia,(+689) 40-50-3939
Frankfurt Germany Temple,Talstrasse 10,Friedrichsdorf,Hessen,DE-61381,Germany,(+49) 6172-59000
Freiberg Germany Temple,Hainichener Strasse 64,Freiberg,Sachsen,DE-09599,Germany,(+49) 3731-35960
Accra Ghana Temple,57 Independence Avenue North Ridge PMB CT 209 Cantonments,Accra,,,Ghana,(+233) 302-650-123
Kumasi Ghana Temple,,Kumasi,,,Ghana,
Yigo Guam Temple,321 Chalan Pale Ramon Lagu Rte 1,Yigo,,96929,Guam,(+1) 671-969-0055
Cobán Guatemala Temple,4a. Avenida 4-48 Zona 8 Barrio Bella Vista,Cobán,Alta Verapaz,,Guatemala,
Guatemala City Guatemala Temple,24 Avenida 2-20 Zona 15 Vista Hermosa 1,Guatemala City,Guatemala,,Guatemala,(+502) 2369-3426
Miraflores Guatemala City Guatemala Temple,13 Calle 5-56 Zona 11,Guatemala City Metropolitan Area,,,Guatemala,
Quetzaltenango Guatemala Temple,9a Calle 4-03 Zona 9 Frente a Residenciales Los Cerezos 1,Quetzaltenango,,9000,Guatemala,(+502) 7728-1603
Port-au-Prince Haiti Temple,Route de Frères Delmas 105,Pétion-Ville,Port-au-Prince,,Haiti,(+509) 2262-5810
San Pedro Sula Honduras Temple,Bulevar Mario Catarino Rivas,San Pedro Sula,Cortés,,Honduras,
Tegucigalpa Honduras Temple,Residenciales Roble Oeste Boulevard Roble Oeste 3ra Calle Sur,Comayagüela,Francisco Morazán,,Honduras,(+504) 2264-1212
Hong Kong China Temple,2 Cornwall Street Kowloon Tong,Kowloon City,,,Hong Kong,(+852) 2339-8100
Bengaluru India Temple,2-B Whitefield Main Road Garudachar Palya Mahadevapura,Bengaluru,Karnataka,560048,India,
Rome Italy Temple,Via di Settebagni 376,Rome,,,Italy,(+39) 06-9480-5050
Fukuoka Japan Temple,9-15 Hirao Johsui Machi Chuo-ku,Fukuoka-shi,Fukuoka-ken,810-0029,Japan,(+81) 92-525-8255
Sapporo Japan Temple,1-6-1 Oyachi-Nishi Atsubetsu-ku,Sapporo,Hokkaid?,004-0042,Japan,(+81) 11-890-8120
Okinawa Japan Temple,7-11 Matsumoto,Okinawa Shi,Okinawa-ken,,Japan,
Tokyo Japan Temple,5-8-10 Minami Azabu Minato-Ku,Tokyo,, 106-0047,Japan,
Nairobi Kenya Temple,Mountain View,Nairobi,,,Kenya,
Tarawa Kiribati Temple,Ambo,Tarawa,,,Kiribati,
Tijuana Mexico Temple,Paseo Del Rio 6832 Esquina Campestre Oriente Col 3 RA Etapa Rio Tijuana,Tijuana,Baja California,22226,Mexico,(+52) 664-969-2690
Tuxtla Gutiérrez Mexico Temple,Carretera a Chicoasen Chiapas Kilómetro 14 Esquina Paseo de la Roseta Fraccionamiento San José Chapultepec,Tuxtla Gutiérrez,Chiapas,29047,Mexico,(+52) 961-615-8287
Ciudad Juárez Mexico Temple,Calle Paraguay #290 Esquina José Borunda Colonia Partido Romero,Ciudad Juárez,Chihuahua,32177,Mexico,(+52) 656-611-5146
Colonia Juárez Chihuahua Mexico Temple,Calles Chihuahua y Díaz,Colonia Juárez,Chihuahua,31857,Mexico,(+52) 636-695-0144
Mexico City Mexico Temple,Avenida 510 no. 90 Colonia San Juan de Aragón,Mexico City,Distrito Federal,7950,Mexico,(+52) 55-5003-3700
Torreón Mexico Temple,París and Amsterdam,Gómez Palacio,Durango,,Mexico,
Guadalajara Mexico Temple,Avenida Patria no. 879 Fraccionamiento Jardines Tepeyac,Zapopán,Jalisco,45030,Mexico,(+52) 33-3125-1283
Monterrey Mexico Temple,Avenida Eugenio Garza Sada Esquina Privada Valle de la Estanzuela Colonia Valle Alto,Monterrey,Nuevo León,64989,Mexico,(+52) 81-8104-0635
Oaxaca Mexico Temple,Avenida Universidad no. 139 Fraccionamiento Real de Candiani,Oaxaca,Oaxaca,68130,Mexico,(+52) 951-516-9588
Querétaro Mexico Temple,Prolongación Tecnológico Norte 150 Colonia San Pablo,Querétaro,Querétaro,76130,Mexico,
Hermosillo Sonora Mexico Temple,General Pedro García Conde no. 303 Esquina Con Juan José Ríos Colonia Pitic,Hermosillo,Sonora,83150,Mexico,(+52) 662-210-5660
Villahermosa Mexico Temple,Avenida 27 de Febrero no. 1717 Colonia Atasta de Serra,Villahermosa,Tabasco,86100,Mexico,(+52) 993-352-2028
Tampico Mexico Temple,Avenida Ejército Mexicano no. 74 con 3A Avenida Colonia Lomas del Gallo,Ciudad Madero,Tamaulipas,89480,Mexico,(+52) 833-216-9660
Veracruz Mexico Temple,Avenida Ejército Mexicano Esquina Michoacán Colonia Luís Echeverría,Boca del Río,Veracruz,94290,Mexico,(+52) 229-922-9621
Mérida Mexico Temple,Calle 70 no. 527 Esquina 65 y 67 Colonia Centro,Mérida,Yucatán,97000,Mexico,(+52) 999-928-1643
Puebla Mexico Temple,15 de Mayo Los Cipreses,Puebla,,,Mexico,
The Hague Netherlands Temple,Osijlaan 2,Zoetermeer,,NL-2722 CV,Netherlands,(+31) 79-343-5310
Auckland New Zealand Temple,Redoubt Road Manukau,Auckland,,,New Zealand,
Hamilton New Zealand Temple,509 Tuhikaramea Road Temple View,Hamilton,,3218,New Zealand,(+64) 7-846-2750
Aba Nigeria Temple,Okpu-Umuoba Road Off Aba-Owerri Road at Union Bank,Aba,Abia State,,Nigeria,(+234) 80-3903-4804
Panama City Panama Temple,Calle Rufina 3172,Ancón,Cárdenas,,Panama,(+507) 201-6233
Port Moresby Papua New Guinea Temple,Muniogo Crescent Badili,Port Moresby,,,Papua New Guinea,
Asunción Paraguay Temple,Esquina Brasilia y España,Asunción,,1441,Paraguay,(+595) 21-216-92
Arequipa Peru Temple,Avenida Cusco 380 Carmen Alto,Arequipa,Arequipa,,Peru,(+51) 54-640-300
Trujillo Peru Temple,Av. Mansiche Km 35 Carretera hacia Huanchaco,Trujillo,La Libertad,,Peru,(+51) 44-602-130
Lima Peru Los Olivos Temple,Eloy Espinoza Urbanización Ingenieria San Martín de Porres,Lima,Lima,,Peru,
Lima Peru Temple,Av. Javier Prado Este 6420 Urb. Santa Patricia La Molina,Lima,Lima,12,Peru,(+51) 1-612-7200
Cebu City Philippines Temple,Gorordo Avenue Barangay Lahug,Cebu City,Cebu,6000,Philippines,(+63) 32-230-1207
Davao Philippines Temple,Ma-a Road and Anahaw Road Barangay Ma-a,Davao City,Davao del Sur,8000,Philippines,
Alabang Philippines Temple,Filinvest Avenue and Corporate Avenue Alabang,Muntinlupa,Metro Manila,,Philippines,
Manila Philippines Temple,13 Temple Drive Greenmeadows Subdivision,Quezon City,Metro Manila,1110,Philippines,(+63) 2-635-0954
Bacolod Philippines Temple,Bacolod Airport Access Road (north of Buri Road),Bacolod,,,Philippines,
Urdaneta Philippines Temple,MacArthur Highway,Urdaneta,,,Philippines,
Lisbon Portugal Temple,Avenida Dom João II 1990-364 Moscavide,Lisbon,,,Portugal,(+351) 308-811-650
San Juan Puerto Rico Temple,123 Calle Ronda Urbanización Villa Andalucía,San Juan,,926,Puerto Rico,
Apia Samoa Temple,Vaitele Street,Pesega,Apia,,Samoa,(+685) 64-230
Freetown Sierra Leone Temple,Jui Road Kossoh Town,Freetown,,,Sierra Leone,
Durban South Africa Temple,2 Izinga Drive Izinga Ridge,Umhlanga,KwaZulu-Natal,4021,South Africa,(+27) 31-140-024
Cape Town South Africa Temple,3 Liesbeek Road Observatory,Cape Town,,,South Africa,
Johannesburg South Africa Temple,7 Jubilee Road Parktown,Johannesburg,,2193,South Africa,(+27) 11-645-1540
Seoul Korea Temple,500-23 Changcheon-dong Seodaemun-gu,Seoul-si,Seoul-teukbyeolsi,120-836,South Korea,(+82) 2-334-9100
Madrid Spain Temple,Calle del Templo no. 2,Madrid,,ES-28030,Spain,(+34) 91-214-2607
Stockholm Sweden Temple,Tempelvägen 5,Västerhaninge,,SE-13742,Sweden,(+46) 8-5006-5500
Bern Switzerland Temple,Tempelstrasse 2,Zollikofen,Bern,CH-3052,Switzerland,(+41) 31-915-5252
Kaohsiung Taiwan Temple,,Kaohsiung,,,Taiwan,
Taipei Taiwan Temple,256 Ai Kuo East Road,Taipei,,106,Taiwan,(+886) 2-2192-4930
Bangkok Thailand Temple,1645/6 New Petchaburi Road Makkasan Ratchathewi,Bangkok,,10400,Thailand,
Nuku'alofa Tonga Temple,Loto Road Liahona,Nuku'alofa,Tongatapu,,Tonga,(+676) 20-300
Neiafu Tonga Temple,Tu?I Road,Neiafu,Vava'u,,Tonga,
Kyiv Ukraine Temple,1 Yabluneva Street v. Sofiivs'ka Borshchagivka,Kyevo-Sviatoshyns'ky Rayon,Kyivs'ka Oblast,8131,Ukraine,(+380) 44-371-4088
Preston England Temple,Temple Way Hartwood Green Chorley,Lancashire,, PR6 7EQ,United Kingdom,(+44) 1257-226-100
London England Temple,West Park Road Newchapel,Lingfield,, RH7 6HW,United Kingdom,(+44) 1342 831-400
Birmingham Alabama Temple,1927 Mount Olive Boulevard,Gardendale,Alabama,35071,United States,(+1) 205-631-3444
Anchorage Alaska Temple,13161 Brayton Drive,Anchorage,Alaska,99516,United States,(+1) 907-348-7890
The Gila Valley Arizona Temple,5291 West Highway 70,Central,Arizona,85531,United States,(+1) 928-428-7243
Gilbert Arizona Temple,3301 S Greenfield Rd,Gilbert,Arizona,85297,United States,(+1) 480-822-5000
Mesa Arizona Temple,101 South LeSueur,Mesa,Arizona,85204-1031,United States,(+1) 480-833-1211
Phoenix Arizona Temple,5220 West Pinnacle Peak Road,Phoenix,Arizona,85310,United States,(+1) 623-474-9500
Snowflake Arizona Temple,1875 West Canyon Drive,Snowflake,Arizona,85937,United States,(+1) 928-536-6626
Tucson Arizona Temple,7281 N Skyline Dr,Tucson,Arizona,85718,United States,(+1) 520-395-3900
Bentonville Arkansas Temple,1105 McCollum Drive,Bentonville,Arkansas,,United States,
Fresno California Temple,6290 North Valentine Avenue,Fresno,California,93711,United States,(+1) 559-437-9451
Los Angeles California Temple,10777 Santa Monica Boulevard,Los Angeles,California,90025-4718,United States,(+1) 310-474-5569
Newport Beach California Temple,2300 Bonita Canyon Drive,Newport Beach,California,92660-9118,United States,(+1) 949-644-1820
Oakland California Temple,4770 Lincoln Avenue,Oakland,California,94602-2535,United States,(+1) 510-531-3200
Sacramento California Temple,2110 California Circle,Rancho Cordova,California,95742,United States,(+1) 916-357-5870
Redlands California Temple,1761 5th Avenue,Redlands,California,92374,United States,(+1) 909-389-7369
San Diego California Temple,7474 Charmant Drive,San Diego,California,92122-5000,United States,(+1) 858-622-0991
Yorba Linda California Temple,Bastanchury Road and Osmond Street,Yorba Linda,California,,United States,
Feather River California Temple,1470 Butte House Road,Yuba City,California,95993,United States,
Denver Colorado Temple,2001 East Phillips Circle,Centennial,Colorado,80122,United States,(+1) 303-730-0220
Fort Collins Colorado Temple,2180 Majestic Drive,Fort Collins,Colorado,,United States,(+1) 970-797-4630
Grand Junction Colorado Temple,Horizon Drive and North 12th Street,Grand Junction,Colorado,,United States,
Hartford Connecticut Temple,2 Central Way,Farmington,Connecticut,6032,United States,(+1) 860-773-7200
Fort Lauderdale Florida Temple,3901 SW 154th Avenue,Davie,Florida,33331,United States,(+1) 954-382-8390
Tallahassee Florida Temple,2440 Papillon Way,Tallahassee,Florida,,United States,
Orlando Florida Temple,9000 Windy Ridge Road,Windermere,Florida,34786-8347,United States,(+1) 407-876-0022
Atlanta Georgia Temple,6450 Barfield Road NE,Sandy Springs,Georgia,30328-4283,United States,(+1) 770-393-3698
Kona Hawaii Temple,75-230 Kalani Street,Kailua Kona,Hawaii,96740-1833,United States,(+1) 808-331-8504
Laie Hawaii Temple,55-600 Naniloa Loop,Laie,Hawaii,96762-1299,United States,(+1) 808-293-2427
Boise Idaho Temple,1211 South Cole Road,Boise,Idaho,83709-1871,United States,(+1) 208-322-4422
Burley Idaho Temple,40 South and 150 East,Burley,Idaho,,United States,
Idaho Falls Idaho Temple,1000 Memorial Drive,Idaho Falls,Idaho,83402-3497,United States,(+1) 208-522-7669
Meridian Idaho Temple,7355 North Linder Road,Meridian,Idaho,,United States,(+1) 208-957-7300
Montpelier Idaho Temple,Washington Street,Montpelier,Idaho,,United States,
Pocatello Idaho Temple,3100 Butte Street,Pocatello,Idaho,83201-1828,United States,(+1) 208-646-7730
Rexburg Idaho Temple,750 South 2nd East,Rexburg,Idaho,83440-5404,United States,(+1) 208-656-0880
Teton River Idaho Temple,,Rexburg,Idaho,,United States,
Twin Falls Idaho Temple,1405 Eastland Drive North,Twin Falls,Idaho,83301,United States,(+1) 208-736-7070
Chicago Illinois Temple,4151 West Lake Avenue,Glenview,Illinois,60025-1240,United States,(+1) 847-299-6500
Nauvoo Illinois Temple,50 North Wells Street,Nauvoo,Illinois,62354,United States,(+1) 217-453-6252
Indianapolis Indiana Temple,11565 Temple Dr,Carmel,Indiana,,United States,(+1) 317-993-3800
Louisville Kentucky Temple,7116 West Highway 22,Crestwood,Kentucky,40014,United States,(+1) 502-241-4115
Baton Rouge Louisiana Temple,10339 Highland Road,Baton Rouge,Louisiana,70810,United States,(+1) 225-769-1197
Washington D.C. Temple,9900 Stoneybrook Drive,Kensington,Maryland,20895-3199,United States,(+1) 301-588-0650
Boston Massachusetts Temple,100 Hinckley Way (formerly 86 Frontage Road),Belmont,Massachusetts,02478-2135,United States,(+1) 617-993-9993
Detroit Michigan Temple,37425 Woodward Avenue,Bloomfield Hills,Michigan,48304,United States,(+1) 248-593-0690
St. Paul Minnesota Temple,2150 Hadley Avenue North,Oakdale,Minnesota,55128-4505,United States,(+1) 651-748-5910
Kansas City Missouri Temple,7001 Searcy Creek Parkway,Kansas City,Missouri,,United States,(+1) 816-413-1430
St. Louis Missouri Temple,12555 North Outer Forty Drive,St. Louis,Missouri,63141-8620,United States,(+1) 314-514-1122
Billings Montana Temple,3100 Rim Point Drive,Billings,Montana,59106-1386,United States,(+1) 406-655-0607
Helena Montana Temple,1260 Otter Road,Helena,Montana,,United States,
Winter Quarters Nebraska Temple,8283 North 34th Street,Omaha,Nebraska,68112-2114,United States,(+1) 402-453-3406
Elko Nevada Temple,Ruby Vista Drive,Elko,Nevada,,United States,
Las Vegas Nevada Temple,827 Temple View Drive,Las Vegas,Nevada,89110-2920,United States,(+1) 702-452-5011
Reno Nevada Temple,2000 Beaumont Parkway,Reno,Nevada,89523,United States,(+1) 775-747-6688
Albuquerque New Mexico Temple,10301 San Francisco Drive NE,Albuquerque,New Mexico,87122-3437,United States,(+1) 505-822-5110
Farmington New Mexico Temple,4400 College Boulevard,Farmington,New Mexico,,United States,
Manhattan New York Temple,125 Columbus Avenue,New York,New York,10023-6514,United States,(+1) 917-441-8220
Palmyra New York Temple,2720 Temple Road,Palmyra,New York,14522,United States,(+1) 315-597-6001
Raleigh North Carolina Temple,574 Bryan Drive,Apex,North Carolina,27502,United States,(+1) 919-362-4135
Bismarck North Dakota Temple,2930 Cody Drive,Bismarck,North Dakota,58503,United States,(+1) 701-258-9590
Columbus Ohio Temple,3870 Gateway Boulevard,Columbus,Ohio,43228,United States,(+1) 614-351-5001
Oklahoma City Oklahoma Temple,12030 North Mustang Road,Yukon,Oklahoma,73099,United States,(+1) 405-373-2309
Medford Oregon Temple,3900 Grant Road,Central Point,Oregon,97502,United States,(+1) 541-664-2050
Portland Oregon Temple,13600 SW Kruse Oaks Boulevard,Lake Oswego,Oregon,97035-8602,United States,(+1) 503-639-7066
Willamette Valley Oregon Temple,International Boulevard and Corporate Way,Springfield,Oregon,,United States,
Pittsburgh Pennsylvania Temple,2093 Powell Road,Cranberry Township,Pennsylvania,16066,United States,
Philadelphia Pennsylvania Temple,1739 Vine Street,Philadelphia,Pennsylvania,19103,United States,(+1) 215-398-3040
Columbia South Carolina Temple,2905 Trotter Road,Hopkins,South Carolina,29061-9573,United States,(+1) 803-647-9472
Memphis Tennessee Temple,4199 Kirby-Whitten Parkway,Bartlett,Tennessee,38135,United States,(+1) 901-379-0202
Nashville Tennessee Temple,1100 Gray Fox Lane,Franklin,Tennessee,37069,United States,(+1) 615-791-8668
Dallas Texas Temple,6363 Willow Lane,Dallas,Texas,75230-2227,United States,(+1) 972-991-1273
Lubbock Texas Temple,7016 Frankford Avenue,Lubbock,Texas,79424,United States,(+1) 806-794-0774
McAllen Texas Temple,300 West Trenton Road,McAllen,Texas,,United States,
San Antonio Texas Temple,20080 Stone Oak Parkway,San Antonio,Texas,78258-6920,United States,(+1) 210-538-0034
Houston Texas Temple,15725 Champion Forest Drive,Spring,Texas,77379-7036,United States,(+1) 281-376-6804
Mount Timpanogos Utah Temple,742 North 900 East,American Fork,Utah,84003-9124,United States,(+1) 801-763-4540
Bountiful Utah Temple,640 South Bountiful Boulevard,Bountiful,Utah,84010-1394,United States,(+1) 801-296-2100
Brigham City Utah Temple,250 South Main Street,Brigham City,Utah,84302-2120,United States,(+1) 435-695-2170
Cedar City Utah Temple,280 S Cove Dr,Cedar City,Utah,84720,United States,(+1) 435-572-4150
Draper Utah Temple,14065 Canyon Vista Lane,Draper,Utah,84020-5626,United States,(+1) 801-576-4240
Ephraim Utah Temple,200 North and 400 East,Ephraim,Utah,,United States,
Layton Utah Temple,1400 East Oakhills Drive (approximate),Layton,Utah,84040,United States,
Lindon Utah Temple,Approximately 850 East Center Street,Lindon,Utah,,United States,
Logan Utah Temple,175 North 300 East,Logan,Utah,84321-4720,United States,(+1) 435-752-3611
Manti Utah Temple,Temple Hill,Manti,Utah,84642,United States,(+1) 435-835-2291
Monticello Utah Temple,365 North 200 West,Monticello,Utah,84535,United States,(+1) 435-587-3500
Ogden Utah Temple,350 22nd Street,Ogden,Utah,84401-1487,United States,(+1) 801-621-6880
Orem Utah Temple,1471 South Geneva Road (approximate),Orem,Utah,,United States,
Payson Utah Temple,1494 South 930 West,Payson,Utah,,United States,(+1) 801-754-4949
Provo City Center Temple,50 South University Avenue,Provo,Utah,84601,United States,(+1) 801-343-2700
Provo Utah Temple,2200 Temple Hill Drive,Provo,Utah,84604-1766,United States,(+1) 801-375-5775
Salt Lake Temple,50 West North Temple Street,Salt Lake City,Utah,84150-0701,United States,(+1) 801-240-2640
Saratoga Springs Utah Temple, 987 South Ensign Drive,Saratoga Springs,Utah,,United States,
Smithfield Utah Temple,N 800 West and W 100 North,Smithfield,Utah,,United States,
Jordan River Utah Temple,10200 South 1300 West,South Jordan,Utah,84095-8814,United States,(+1) 801-254-3003
Oquirrh Mountain Utah Temple,11022 South 4000 West,South Jordan,Utah,84095-5797,United States,(+1) 801-878-3800
Red Cliffs Utah Temple,1555 South Red Cliffs Temple Street,St. George,Utah,,United States,
St. George Utah Temple,250 East 400 South,St. George,Utah,84770-3699,United States,(+1) 435-673-3533
Syracuse Utah Temple,1025 South 2500 West,Syracuse,Utah,84075,United States,
Taylorsville Utah Temple,2603 West 4700 South,Taylorsville,Utah,,United States,
Deseret Peak Utah Temple,West of 2400 North 400 West,Tooele,Utah,84074,United States,
Vernal Utah Temple,170 South 400 West,Vernal,Utah,84078-2536,United States,(+1) 435-789-3220
Richmond Virginia Temple,10915 Staples Mill Rd,Glen Allen,Virginia,,United States,
Seattle Washington Temple,2808 148th Avenue SE,Bellevue,Washington,98007-6453,United States,(+1) 425-643-5144
Moses Lake Washington Temple,,Moses Lake,Washington,,United States,
Columbia River Washington Temple,969 Gage Boulevard,Richland,Washington,99352,United States,(+1) 509-628-0990
Spokane Washington Temple,13710 East 40th Avenue,Spokane,Washington,99206,United States,(+1) 509-926-2824
Star Valley Wyoming Temple,885 South Washington Street,Afton,Wyoming,,United States,(+1) 307-886-6820
Casper Wyoming Temple,2905 Independence Court,Casper,Wyoming,82604,United States,
Montevideo Uruguay Temple,Bolonia 1722 Carrasco,Montevideo,,11500,Uruguay,(+598) 2604-7300
Port Vila Vanuatu Temple,Blacksands,Port Vila,,,Vanuatu,
Caracas Venezuela Temple,Avenida C con Calle C-1 Urbanización Caurimare,Caracas,Distrito Federal,1062-A,Venezuela,(+58) 212-981-1873
Harare Zimbabwe Temple,65 Enterprise Road Highlands,Harare,,,Zimbabwe,
